kanji,id_5th_ed,id_6th_ed,keyword_5th_ed,keyword_6th_ed,components,on_reading,kun_reading,stroke_count,jlpt
器,121,127,utensil,utensil,mouth; large; St. Bernard,キ,うつわ,15,N1
臭,122,128,stinking,stinking,nose; drop; eye; large; St. Bernard,シュウ,くさ.い; -くさ.い; にお.う; にお.い,9,N1
嗅,3008,129,sniff,sniff,,キュウ,か.ぐ,13,
妙,123,130,exquisite,exquisite,woman; few,ミョウ; ビョウ,たえ,7,N1
省,124,131,focus,focus,few; eye,セイ; ショウ,かえり.みる; はぶ.く,9,N2
厚,125,132,thick,thick,cliff; sun; day; child,コウ,あつ.い; あか,9,N2
奇,126,133,strange,strange,large; St. Bernard; can; mouth; street; nail; spike,キ,く.しき; あや.しい; くし; めずら.しい,8,N1
川,127,134,stream,stream,flood,セン,かわ,3,N5
州,128,135,state,state,stream; flood; drops,シュウ; ス,す,6,N2
順,129,136,obey,obey,stream; flood; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ジュン,,12,N2
水,130,137,water,water,,スイ,みず; みず-,4,N5
氷,131,138,icicle,icicle,drop; water,ヒョウ,こおり; ひ; こお.る,5,N2
永,132,139,eternity,eternity,drop; water,エイ,なが.い,5,N2
泉,133,140,spring,spring,white; dove; water,セン,いずみ,9,N2
腺,2466,141,gland,gland,moon; month; flesh; part of the body; spring; white; dove; water,セン,,13,
原,134,142,meadow,meadow,cliff; spring; white; dove; small; little,ゲン,はら,10,N3
願,135,143,petition,petition,meadow; cliff; white; dove; small; little; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,ねが.う; -ねがい,19,N3
泳,136,144,swim,swim,water; water droplets; water pistol; eternity,エイ,およ.ぐ,8,N3
沼,137,145,marsh,marsh,water; water droplets; water pistol; summon; seduce; sword; dagger; mouth,ショウ,ぬま,8,N1
沖,138,146,open sea,open sea,water; water droplets; water pistol; in; stick; mouth,チュウ,おき; おきつ; ちゅう.する; わく,7,N1
汎,2327,147,pan-,pan-,water; water droplets; water pistol; mediocre; wind; drop,ハン; ブ; フウ; ホウ; ホン,ただよ.う; ひろ.い,6,
江,139,148,creek,creek,water; water droplets; water pistol; craft,コウ,え,6,N1
汰,2316,149,cleanse,cleanse,water; water droplets; water pistol; plump; large; St. Bernard; drop,タ; タイ,おご.る; にご.る; よな.げる,7,N1
汁,140,150,soup,soup,water; water droplets; water pistol; ten; needle,ジュウ,しる; -しる; つゆ,5,N1
沙,2296,151,grains of sand,grains of sand,water; water droplets; water pistol; few,サ; シャ,すな; よなげる,7,N1
潮,141,152,tide,tide,water; water droplets; water pistol; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ,しお; うしお,15,N1
源,142,153,source,source,water; water droplets; water pistol; meadow; cliff; sun; day; small; little,ゲン,みなもと,13,N1
活,143,154,lively,lively,water; water droplets; water pistol; tongue; drop; old; tombstone; gravestone; church; ten; needle; mouth,カツ,い.きる; い.かす; い.ける,9,N3
消,144,155,extinguish,extinguish,water; water droplets; water pistol; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,き.える; け.す,10,N3
況,145,156,but of course,but of course,water; water droplets; water pistol; elder brother; teenager; mouth; human legs,キョウ,まし.て; いわ.んや; おもむき,8,N2
河,146,157,river,river,water; water droplets; water pistol; can; street; nail; spike; mouth,カ,かわ,8,N2
泊,147,158,overnight,overnight,water; water droplets; water pistol; white; dove,ハク,と.まる; と.める,8,N2
湖,148,159,lake,lake,water; water droplets; water pistol; uncivilized; zombie; old; tombstone; gravestone; church; ten; needle; mouth; moon; month; flesh; part of the body,コ,みずうみ,12,N2
測,149,160,fathom,fathom,water; water droplets; water pistol; rule; shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,はか.る,12,N2
土,150,161,soil,soil,dirt; ground,ド; ト,つち,3,N5
吐,151,162,spit,spit,mouth; soil; dirt; ground,ト,は.く; つ.く,6,N1
圧,152,163,pressure,pressure,cliff; soil; dirt; ground,アツ; エン; オウ,お.す; へ.す; おさ.える; お.さえる,5,N2
埼,153,164,cape,cape,soil; dirt; ground; strange; large; St. Bernard; street; nail; spike; mouth,キ,さき; さい; みさき,11,
垣,154,165,hedge,hedge,soil; dirt; ground; span; one; ceiling; sun; day; one; floor; one,エン,かき,9,N1
填,2190,166,stuff up,inlay,,,,13,
圭,155,167,squared jewel,squared jewel,square jewel; ivy; soil; dirt; ground,ケイ; ケ,,6,N1
封,156,168,seal,seal,ivy; square jewel; soil; dirt; ground; glue,フウ; ホウ,,9,N2
涯,157,169,horizon,horizon,water; water droplets; water pistol; cliff; ivy; square jewel; soil; dirt; ground,ガイ,はて,11,N1
寺,158,170,Buddhist temple,Buddhist temple,buddhist temple; soil; dirt; ground; glue,ジ,てら,6,N2
時,159,171,time,time,sun; day; Buddhist temple; soil; dirt; ground; glue,ジ,とき; -どき,10,N5
均,160,172,level,level,soil; dirt; ground; ladle; drop,キン,なら.す,7,N2
火,161,173,fire,fire,,カ,ひ; -び; ほ-,4,N5
炎,162,174,inflammation,inflammation,fire,エン,ほのお,8,N1
煩,163,175,anxiety,anxiety,fire; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ハン; ボン,わずら.う; わずら.わす,13,N1
淡,164,176,thin,thin,water; water droplets; water pistol; inflammation; fire,タン,あわ.い,11,N1
灯,165,177,lamp,lamp,fire; street; nail; spike,トウ,ひ; ほ-; ともしび; とも.す; あかり,6,N2
畑,166,178,farm,farm,fire; rice field; brains,,はた; はたけ; -ばたけ,9,
災,167,179,disaster,disaster,stream; flood; fire,サイ,わざわ.い,7,N1
灰,168,180,ashes,ashes,cliff; fire,カイ,はい,6,N2
点,169,181,spot,spot,fortune-telling; magic wand; augury; mouth; oven-fire; barbecue,テン,つ.ける; つ.く; た.てる; さ.す; とぼ.す; とも.す; ぼち,9,N3
照,170,182,illuminate,illuminate,shining; sun; day; summon; seduce; sword; dagger; mouth; oven-fire; barbecue,ショウ,て.る; て.らす; て.れる,13,N2
魚,171,183,fish,fish,bound up; rice field; brains; oven-fire; barbecue,ギョ,うお; さかな; -ざかな,11,N4
漁,172,184,fishing,fishing,water; water droplets; water pistol; fish; bound up; rice field; brains; oven-fire; barbecue,ギョ; リョウ,あさ.る,14,N2
里,173,185,ri,ri,computer; rice field; brains; soil; dirt; ground,リ,さと,7,
黒,174,186,black,black,computer; oven-fire; barbecue,コク,くろ; くろ.ずむ; くろ.い,11,N4
墨,175,187,black ink,black ink,black; computer; oven-fire; barbecue,ボク,すみ,14,N1
鯉,176,188,carp,carp,fish; bound up; rice field; brains; oven-fire; barbecue; computer,リ,こい,18,N1
量,177,189,quantity,quantity,nightbreak; sun; day; one; floor; computer,リョウ,はか.る,12,N2
厘,178,190,rin,rin,cliff; computer,リン,,9,N1
埋,179,191,bury,bury,soil; dirt; ground; computer,マイ,う.める; う.まる; う.もれる; うず.める; うず.まる; い.ける,10,N2
同,180,192,same,same,monks; hood; one; mouth,ドウ,おな.じ,6,N4
洞,181,193,den,den,water; water droplets; water pistol; same; monks; hood; one; mouth,ドウ,ほら,9,N1
胴,182,194,trunk,trunk,moon; month; flesh; part of the body; same; monks; hood; one; mouth,ドウ,,10,N1
向,183,195,yonder,yonder,alien; drop; helmet; hood; mouth,コウ,む.く; む.い; -む.き; む.ける; -む.け; む.かう; む.かい; む.こう; む.こう-; むこ; むか.い,6,N3
尚,184,196,esteem,esteem,small; little; alien; glass canopy; hood; mouth,ショウ,なお,8,N1
字,185,197,character,character,house; child,ジ,あざ; あざな; -な,6,N4
守,186,198,guard,guard,house; glue,シュ; ス,まも.る; まも.り; もり; -もり; かみ,6,N3
完,187,199,perfect,perfect,house; beginning; two; human legs,カン,,7,N3
宣,188,200,proclaim,proclaim,house; span; one; ceiling; sun; day; one; floor; one,セン,のたま.う; のたま.わく,9,N1
宵,189,201,wee hours,wee hours,house; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,よい,10,N1
安,190,202,relax,relax,house; woman,アン,やす.い; やす.まる; やす; やす.らか,6,N4
宴,191,203,banquet,banquet,relax; house; sun; day; tongue wagging; woman,エン,うたげ,10,N1
寄,192,204,draw near,draw near,house; strange; large; St. Bernard; can; street; nail; spike; mouth,キ,よ.る; -よ.り; よ.せる,11,N3
富,193,205,wealth,wealth,house; one; ceiling; mouth; rice field; brains,フ; フウ,と.む; とみ,12,N3
貯,194,206,savings,savings,shellfish; clam; oyster; eye; animal legs; eight; house; street; nail; spike,チョ,た.める; たくわ.える,12,N2
木,195,207,tree,tree,wood,ボク; モク,き; こ-,4,N5
林,196,208,grove,grove,tree; wood,リン,はやし,8,N2
森,197,209,forest,forest,tree; wood,シン,もり,12,N2
桂,198,210,Japanese Judas-tree,Japanese Judas-tree,Japanese Judas tree; tree; wood; ivy; square jewel; soil; dirt; ground,ケイ,かつら,10,N1
柏,199,211,oak,oak,tree; wood; white; dove,ハク; ヒャク; ビャク,かしわ,9,
枠,200,212,frame,frame,tree; wood; ninety; nine; baseball; ten; needle,,わく,8,N1
梢,201,213,treetops,treetops,tree; wood; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,こずえ; くすのき,11,N1
棚,202,214,shelf,shelf,tree; wood; companion; moon; month; flesh; part of the body; flesh,ホウ,たな; -だな,12,N1
杏,203,215,apricot,apricot,tree; wood; mouth,キョウ; アン; コウ,あんず,7,N1
桐,204,216,paulownia,paulownia,tree; wood; same; monks; hood; one; mouth,トウ; ドウ,きり,10,N1
植,205,217,plant,plant,tree; wood; straightaway; ten; needle; eye; fishhook,ショク,う.える; う.わる,12,N2
椅,2480,218,chair,chair,tree; wood; strange; large; St. Bernard; street; nail; spike; mouth,イ,,12,
枯,206,219,wither,wither,tree; wood; old; tombstone; gravestone; church; ten; needle; mouth,コ,か.れる; か.らす,9,N2
朴,207,220,crude,crude,tree; wood; magic wand; augury,ボク,ほう; ほお; えのき,6,N1
村,208,221,town,town,tree; wood; measure; glue,ソン,むら,7,N2
相,209,222,inter-,inter-,tree; wood; eye,ソウ; ショウ,あい-,9,N3
机,210,223,desk,desk,tree; wood; wind,キ,つくえ,6,N2
本,211,224,book,book,tree; wood; one,ホン,もと,5,N5
札,212,225,tag,tag,tree; wood; fishhook,サツ,ふだ,5,N2
暦,213,226,calendar,calendar,cliff; grove; tree; wood; sun; day,レキ,こよみ; りゃく,14,N1
案,214,227,plan,plan,relax; house; woman; tree; wood,アン,つくえ,10,N1
燥,215,228,parch,parch,fire; furniture; wooden goods; mouth; tree; wood,ソウ,はしゃ.ぐ,17,N2
未,216,229,not yet,not yet,tree; wood; one,ミ; ビ,いま.だ; ま.だ; ひつじ,5,N3
末,217,230,extremity,extremity,tree; wood; one,マツ; バツ,すえ,9,
昧,2445,231,obscure,obscure,sun; not yet; one; tree; wood,マイ; バイ,くら.い; むさぼ.る,5,N3
沫,218,232,splash,splash,water; water droplets; water pistol; extremity; one; tree; wood,マツ; バツ,あわ; しぶき; つばき,8,
味,219,233,flavor,flavor,mouth; not yet; one; tree; wood,ミ,あじ; あじ.わう,8,N4
妹,220,234,younger sister,younger sister,woman; not yet; one; tree; wood,マイ,いもうと,8,N4
朱,221,235,vermilion,vermilion,vermillion; drop; not yet; one; tree; wood,シュ,あけ,6,N1
株,222,236,stocks,stocks,tree; wood; vermillion; drop; not yet; one; tree; wood,シュ,かぶ,10,N1
若,223,237,young,young,flowers; right; by one’s side; mouth,ジャク; ニャク; ニャ,わか.い; わか-; も.しくわ; も.し; も.しくは,8,N3
草,224,238,grass,grass,flowers; sunflower; early; sun; day; ten; needle,ソウ,くさ; くさ-; -ぐさ,9,N3
苦,225,239,suffering,suffering,flowers; old; tombstone; gravestone; church; ten; needle; mouth,ク,くる.しい; -ぐる.しい; くる.しむ; くる.しめる; にが.い; にが.る,8,N3
苛,2373,240,bullying,bullying,flowers; can; mouth; street; street; nail; spike,カ,いじ.める; さいな.む; いらだ.つ; からい; こまかい,8,
寛,226,241,tolerant,tolerant,house; flowers; look; see; telescope; eye; human legs,カン,くつろ.ぐ; ひろ.い; ゆる.やか,13,N1
薄,227,242,dilute,dilute,flowers; water; water droplets; water pistol; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,ハク,うす.い; うす-; -うす; うす.める; うす.まる; うす.らぐ; うす.ら-; うす.れる; すすき,16,N2
葉,228,243,leaf,leaf,flowers; Tarzan; generation; tree; wood,ヨウ,は,12,N3
模,229,244,imitation,imitation,tree; wood; graveyard; flowers; sun; day; large; St. Bernard,モ; ボ,,14,N1
漠,230,245,vague,vague,water; water droplets; water pistol; graveyard; flowers; sun; day; large; St. Bernard,バク,,13,N1
墓,231,246,grave,grave,graveyard; flowers; sun; day; large; St. Bernard; soil; dirt; ground,ボ,はか,13,N1
暮,232,247,livelihood,livelihood,graveyard; flowers; sun; day; large; St. Bernard,ボ,く.れる; く.らす,14,N3
膜,233,248,membrane,membrane,moon; month; flesh; part of the body; graveyard; flowers; sun; day; large; St. Bernard,マク,,14,N1
苗,234,249,seedling,seedling,flowers; rice field; brains,ビョウ; ミョウ,なえ; なわ-,8,N1
兆,235,250,portent,portent,turtle,チョウ,きざ.す; きざ.し,6,N2
桃,236,251,peach tree,peach tree,tree; wood; portent; turtle,トウ,もも,10,N1
眺,237,252,stare,stare,eye; portent; turtle,チョウ,なが.める,11,N1
犬,238,253,dog,dog,large; St. Bernard; drop,ケン,いぬ; いぬ-,4,N4
状,239,254,status quo,status quo,turtle; chihuahua; dog; large; drop,ジョウ,,7,N3
黙,240,255,silence,silence,black; computer; chihuahua; dog; large; drop; oven-fire; barbecue,モク; ボク,だま.る; もだ.す,15,N1
然,241,256,sort of thing,sort of thing,moon; crescent moon; month; flesh; part of the body; chihuahua; dog; large; drop; oven-fire; barbecue,ゼン; ネン,しか; しか.り; しか.し; さ,12,N3
荻,242,257,reed,reed,flowers; pack of wild dogs; fire,テキ,おぎ,10,
狩,243,258,hunt,hunt,pack of wild dogs; guard; house; glue,シュ,か.る; か.り; -が.り,9,N1
猫,244,259,cat,cat,pack of wild dogs; seedlings; flowers; rice field; brains,ビョウ,ねこ,11,N3
牛,245,260,cow,cow,,ギュウ,うし,4,N4
特,246,261,special,special,cow; Buddhist temple; soil; dirt; ground; glue,トク,,10,N4
告,247,262,revelation,revelation,cow; mouth,コク,つ.げる,7,N3
先,248,263,before,before,cow; human legs,セン,さき; ま.ず,6,N5
洗,249,264,wash,wash,water; water droplets; water pistol; before; cow; human legs,セン,あら.う,9,N3
介,250,265,jammed in,jammed in,umbrella; stick; walking cane,カイ,,4,N2
界,251,266,world,world,rice field; brains; jammed in; umbrella; stick; cane,カイ,,9,N4
茶,252,267,tea,tea,flowers; umbrella; wooden pole,チャ; サ,,9,N4
脊,2071,268,spinal column,spinal column,I Ching; Master Po; umbrella; moon; month; flesh; part of the body,セキ,せ; せい,10,
合,253,269,fit,fit,meeting; umbrella; one; mouth,ゴウ; ガッ; カッ,あ.う; -あ.う; あ.い; あい-; -あ.い; -あい; あ.わす; あ.わせる; -あ.わせる,6,N3
